운용사명,상품명,1개월누적수익률(퍼센트),3개월누적수익률(퍼센트),6개월누적수익률(퍼센트),12개월누적수익률(퍼센트),펀드등급,펀드유형,선취수수료(퍼센트),총보수(퍼센트)
iM에셋자산운용(구 하이),iM에셋월드광업주H(주식-재간접)A,-8.76,-16.17,-8.77,-11.86,1,재간접투자,1,1.56
iM에셋자산운용(구 하이),iM에셋월드광업주H(주식-재간접)C-W,-8.67,-15.95,-8.29,-10.95,1,재간접투자,0,0.58
iM에셋자산운용(구 하이),iM에셋월드광업주H(주식-재간접)C-p,-8.73,-16.08,-8.58,-11.49,1,재간접투자,0,1.16
iM에셋자산운용(구 하이),iM에셋월드광업주H(주식-재간접)C-pe,-8.7,-16.01,-8.43,-11.22,1,재간접투자,0,0.86
iM에셋자산운용(구 하이),iM에셋월드광업주H(주식-재간접)C1,-8.8,-16.28,-8.99,16.34,1,재간접투자,0,2.06
iM에셋자산운용(구 하이),iM에셋월드광업주H(주식-재간접)Ce,-8.77,-16.2,-8.82,-11.96,1,재간접투자,0,1.66
교보악사자산운용,교보악사Tomorrow장기우량K-1호(채권),-0.53,1.1,3.57,5.17,5,채권형,0,0.419
교보악사자산운용,교보악사Tomorrow장기우량K-1호(채권),-0.53,1.11,3.6,5.23,5,채권형,0,0.369
교보악사자산운용,교보악사Tomorrow장기우량K-1호(채권),-0.52,1.12,3.63,5.28,5,채권형,0.3,0.319
교보악사자산운용,교보악사Tomorrow장기우량K-1호(채권),-0.52,1.14,3.65,5.33,5,채권형,0,0.269
교보악사자산운용,교보악사Tomorrow장기우량K-1호(채권),-0.51,1.14,3.67,5.36,5,채권형,0,0.239
교보악사자산운용,교보악사Tomorrow장기우량K-1호(채권),-0.51,1.15,3.68,5.38,5,채권형,0.15,0.219
교보악사자산운용,교보악사Tomorrow장기우량K-1호(채권),-0.5,1.17,3.73,5.49,5,채권형,0.02,0.119
교보악사자산운용,교보악사투모로우장기우량증권C-W,-0.5,1.17,3.73,5.49,5,채권형,0,0.119
교보악사자산운용,교보파워인덱스(주식-파생형)A,-3.62,-9.52,-15.95,-9.52,2,파생상품,1,0.76
교보악사자산운용,교보파워인덱스(주식-파생형)A2,-3.56,-9.38,-15.67,-10.62,2,파생상품,0.03,0.159
교보악사자산운용,교보파워인덱스(주식-파생형)Ae,-3.58,-9.41,-15.74,-9.09,2,파생상품,0.5,0.3
교보악사자산운용,교보파워인덱스(주식-파생형)B,-3.56,-9.38,-15.67,-10.62,2,파생상품,0.03,0.159
교보악사자산운용,교보파워인덱스(주식-파생형)C,-3.65,-9.61,-16.12,-9.88,2,파생상품,0,1.16
교보악사자산운용,교보파워인덱스(주식-파생형)C-W,-3.56,-9.38,-15.68,-8.96,2,파생상품,0,0.159
교보악사자산운용,교보파워인덱스(주식-파생형)Ce,-3.61,-9.49,-15.9,-9.42,2,파생상품,0,0.66
교보악사자산운용,교보파워인덱스(주식파생)C-P2,-3.61,-9.49,-15.9,-9.42,2,파생상품,0,0.66
교보악사자산운용,교보파워인덱스(주식파생)C-P2e,-3.59,-9.43,-15.79,-9.19,2,파생상품,0,0.409
다올자산운용,다올VIP스타셀렉션청년형(주식)C,8.76,-2.26,-17.7,-16.26,2,주식형,0,1.617
다올자산운용,다올VIP스타셀렉션청년형(주식)Ce,8.8,-2.15,-17.5,-15.87,2,주식형,0,1.167
다올자산운용,다올공모주10증권투자신탁[채권혼합]A,-0.5,-0.02,0.8,3.04,5,채권혼합형,0.4,0.8
다올자산운용,다올공모주10증권투자신탁[채권혼합]Ae,-0.48,0.03,0.9,3.24,5,채권혼합형,0.2,0.6
다올자산운용,다올공모주10증권투자신탁[채권혼합]C,-0.53,-0.12,0.59,2.62,5,채권혼합형,0,1.2
다올자산운용,다올공모주10증권투자신탁[채권혼합]CW,-0.46,0.08,1,3.45,5,채권혼합형,0,0.4
다올자산운용,다올공모주10증권투자신탁[채권혼합]Ce,-0.5,-0.02,0.8,3.04,5,채권혼합형,0,0.8
다올자산운용,다올글로벌빅테크1등주증권(주식)A,8.45,12.44,11.76,45.67,2,주식형,1,1.44
다올자산운용,다올글로벌빅테크1등주증권(주식)Ae,8.48,12.53,11.96,46.16,2,주식형,0.5,1.09
다올자산운용,다올글로벌빅테크1등주증권(주식)C,8.39,12.29,11.42,44.82,2,주식형,0,2.04
다올자산운용,다올글로벌빅테크1등주증권(주식)C-P,8.43,12.39,11.65,45.38,2,주식형,0,1.64
다올자산운용,다올글로벌빅테크1등주증권(주식)C-Pe,8.47,12.51,11.9,46.02,2,주식형,0,1.19
다올자산운용,다올글로벌빅테크1등주증권(주식)Ce,8.47,12.5,11.87,45.95,2,주식형,0,1.24
다올자산운용,다올내일출금초단기채공모주(채권혼합)A,-0.16,0,0,0,5,채권혼합형,0.3,0.475
다올자산운용,다올내일출금초단기채공모주(채권혼합)Ae,-0.15,0,0,0,5,채권혼합형,0.15,0.325
다올자산운용,다올내일출금초단기채공모주(채권혼합)C,-0.17,0,0,0,5,채권혼합형,0,0.625
다올자산운용,다올내일출금초단기채공모주(채권혼합)C-P,0.87,0,0,0,5,채권혼합형,0,0.435
다올자산운용,다올내일출금초단기채공모주(채권혼합)C-Pe,-0.14,0,0,0,5,채권혼합형,0,0.305
다올자산운용,다올내일출금초단기채공모주(채권혼합)CW,0,0,0,0,5,채권혼합형,0,0.175
다올자산운용,다올내일출금초단기채공모주(채권혼합)Ce,-0.15,0,0,0,5,채권혼합형,0,0.395
다올자산운용,다올코스닥벤처증권투자신탁(주혼)A,-4.91,-14.94,-21.12,-15.7,2,주식혼합형,1,1.145
다올자산운용,다올코스닥벤처증권투자신탁(주혼)Ae,-4.89,-14.88,-21.01,-15.48,2,주식혼합형,0.5,0.895
다올자산운용,다올코스닥벤처증권투자신탁(주혼)Ag,0,0,0,0,2,주식혼합형,0.5,0.995
다올자산운용,다올코스닥벤처증권투자신탁(주혼)C,-4.94,-15.04,-21.29,-16.05,2,주식혼합형,0,1.545
다올자산운용,다올코스닥벤처증권투자신탁(주혼)Ce,-4.9,-14.93,-21.1,-15.65,2,주식혼합형,0,1.095
디비자산운용,DB바이오헬스케어증권형1호A,2.67,-4.95,8.57,18.6,2,주식형,1,1.287
디비자산운용,DB바이오헬스케어증권형1호AE,2.69,-4.88,8.72,18.92,2,주식형,0.5,1.017
디비자산운용,DB바이오헬스케어증권형1호C,2.59,-5.18,8.05,17.46,2,주식형,0,2.257
디비자산운용,DB바이오헬스케어증권형1호C-P,2.65,-5,8.45,18.34,2,주식형,0,1.507
디비자산운용,DB바이오헬스케어증권형1호C-PE,2.68,-4.91,8.66,18.79,2,주식형,0,1.507
디비자산운용,DB바이오헬스케어증권형1호CE,2.63,-5.06,8.32,18.05,2,주식형,0,1.757
디비자산운용,DB바이오헬스케어증권형C-W,2.71,-4.82,8.86,19.25,2,주식형,0,0.757
마이다스에셋자산운용,마이다스거북이90(주식)A,0.74,-0.37,-2.56,7.76,4,주식형,1,1.31
마이다스에셋자산운용,마이다스거북이90(주식)Ae,0.77,-0.28,-2.38,8.15,4,주식형,0.5,0.95
마이다스에셋자산운용,마이다스거북이90(주식)C-P1,0.73,-0.44,-2.65,7.63,4,주식형,0,1.43
마이다스에셋자산운용,마이다스거북이90(주식)C-Pe1,0.76,-0.3,-2.41,8.08,4,주식형,0,1.01
마이다스에셋자산운용,마이다스거북이90(주식)C-W,0.8,-0.2,-2.21,8.53,4,주식형,0,0.59
마이다스에셋자산운용,마이다스거북이90(주식)C1,0.67,-0.57,-2.95,6.92,4,주식형,0,2.09
마이다스에셋자산운용,마이다스거북이90(주식)Ce,0.76,-0.32,-2.45,8,4,주식형,0,1.08
마이다스에셋자산운용,마이다스단기국공채공모주[채혼]A,0.16,0.86,1.54,3.9,5,채권혼합형,0.6,0.685
마이다스에셋자산운용,마이다스단기국공채공모주[채혼]A-G,0,0,0,0,5,채권혼합형,0.42,0.58
마이다스에셋자산운용,마이다스단기국공채공모주[채혼]Ae,0.18,0.9,1.63,4.09,5,채권혼합형,0.3,0.505
